id,EscapeDistance,Tail_Length,Sex,Year,Age,Xcoor,Ycoor,Mother,Date
CN06-001,34,54,Female,2006,Adult,65,85,0,144
CN06-002,37,53,Male,2006,Adult,65,95,0,144
CN06-002,40,53,Male,2006,Adult,55,135,0,164
CN06-002,36,56,Male,2006,Adult,45,115,0,165
CN06-003,30,50,Female,2006,Adult,55,105,CN06-013,144
CN06-004,35,51,Female,2006,Adult,65,65,0,144
CN06-005,46,55,Male,2006,Adult,85,115,0,164
CN06-005,45,49,Male,2006,Adult,65,85,0,145
CN06-006,35,54,Male,2006,Adult,95,75,0,145
CN06-006,42,46,Male,2006,Adult,95,75,0,165
CN06-007,56,69,Female,2007,Adult,85,105,0,226
CN06-007,46,64,Female,2007,Adult,95,75,0,225
CN06-007,52,61,Female,2007,Adult,105,75,0,197
CN06-007,48,62,Female,2007,Adult,85,65,0,169
CN06-007,44,62,Female,2007,Adult,65,95,0,163
CN06-007,37,58,Female,2006,Adult,95,85,0,228
CN06-007,38,54,Female,2006,Adult,85,105,0,164
CN06-007,44,59,Female,2007,Adult,85,65,0,162
CN06-010,52,56,Male,2006,Adult,45,135,0,164
CN06-010,53,57,Male,2006,Adult,45,115,0,164
CN06-011,31,52,Female,2006,Adult,35,135,CN06-013,164
CN06-012,41,53,Female,2006,Adult,55,115,0,164
CN06-013,39,58,Female,2006,Adult,35,95,0,164
CN06-014,40,51,Female,2006,Adult,25,85,0,164
CN06-015,47,57,Male,2006,Adult,45,85,0,164
CN06-015,49,58,Male,2006,Adult,55,75,0,219
CN06-015,41,56,Male,2006,Adult,45,125,0,228
CN06-017,42,52,Male,2006,Adult,65,105,0,164
CN06-017,35,52.5,Male,2006,Adult,115,65,0,220
CN06-017,47,56,Male,2006,Adult,95,55,0,186
CN06-018,42,53,Male,2006,Adult,35,85,0,164
CN06-021,40,30,Female,2006,Adult,95,95,0,165
CN06-021,44,30,Female,2006,Adult,95,65,0,219
CN06-021,40,30,Female,2006,Adult,95,65,0,220
CN06-023,36,52,Female,2006,Adult,55,135,CN06-013,165
CN06-024,38,56,Female,2006,Adult,35,135,0,165
CN06-025,40,59,Female,2007,Adult,205,115,0,163
CN06-025,33,71,Female,2007,Adult,195,115,0,250
CN06-025,41,63,Female,2007,Adult,195,105,0,170
CN06-025,47,64,Female,2006,Adult,205,75,0,199
CN06-025,49,64,Female,2006,Adult,195,105,0,184
CN06-025,39,64,Female,2007,Adult,195,115,0,198
CN06-027,49,64,Male,2007,Adult,155,65,0,225
CN06-027,45,60,Male,2007,Adult,145,55,0,162
CN06-027,46,58,Male,2007,Adult,165,85,0,163
CN06-027,46,56,Male,2007,Adult,155,55,0,169
CN06-027,47,61,Male,2007,Adult,145,85,0,170
CN06-027,46,68,Male,2007,Adult,115,55,0,197
CN06-027,47,63,Male,2007,Adult,145,95,0,198
CN06-027,48,60,Male,2007,Adult,155,85,0,226
CN06-027,46,60,Male,2006,Adult,205,115,0,185
CN06-028,19,46,Female,2006,Young,215,105,CN06-025,185
CN06-033,41,55,Female,2006,Adult,255,135,0,198
CN06-034,36,54,Female,2006,Adult,265,125,0,198
CN06-035,49,54,Female,2006,Adult,275,95,0,198
CN06-036,42,64,Female,2008,Adult,235,25,0,210
CN06-036,40,56,Female,2008,Adult,225,15,0,161
CN06-036,44,59,Female,2007,Adult,235,15,0,255
CN06-036,38,62,Female,2007,Adult,235,25,0,225
CN06-036,42,60,Female,2007,Adult,225,15,0,169
CN06-036,34,58,Female,2006,Adult,235,25,0,199
CN06-036,37,62,Female,2006,Adult,235,25,0,198
CN06-036,51,64,Female,2007,Adult,225,15,0,197
CN06-037,45,54,Male,2006,Adult,245,55,0,198
CN06-038,51,61,Female,2006,Adult,225,55,0,198
CN06-039,43,64,Female,2007,Adult,225,55,0,169
CN06-039,43,64,Female,2007,Adult,225,65,0,162
CN06-039,52,64,Female,2006,Adult,235,65,0,198
CN06-040,36,52,Female,2006,Adult,165,65,0,198
CN06-040,38,60,Female,2006,Adult,175,65,0,199
CN06-041,20,36,Female,2006,Young,275,45,CN06-062,198
CN06-042,38,54,Male,2006,Adult,275,95,0,198
CN06-043,16,39,Male,2006,Young,265,125,CN06-F12,199
CN06-044,40,57,Female,2006,Adult,215,35,0,199
CN06-048,15,34,Male,2006,Young,165,75,CN06-040,199
CN06-049,22,43,Female,2006,Young,425,125,CN06-081,200
CN06-049,23,42,Female,2006,Young,425,125,CN06-081,201
CN06-050,48,62,Female,2007,Adult,405,125,CN05-F2,275
CN06-050,40,64,Female,2007,Adult,385,195,CN05-F2,252
CN06-050,40,65,Female,2007,Adult,395,135,CN05-F2,251
CN06-050,43,64,Female,2007,Adult,375,175,CN05-F2,207
CN06-050,45,66,Female,2007,Adult,405,125,CN05-F2,206
CN06-050,43,67,Female,2007,Adult,405,135,CN05-F2,193
CN06-050,44,63,Female,2007,Adult,405,135,CN05-F2,165
CN06-050,44,60,Female,2006,Adult,395,145,CN05-F2,218
CN06-050,40,55,Female,2006,Adult,395,135,CN05-F2,200
CN06-050,49,61,Female,2007,Adult,375,165,CN05-F2,164
CN06-051,46,61,Female,2006,Adult,385,125,0,200
CN06-052,47,54,Female,2006,Adult,375,125,0,200
CN06-053,37,59,Female,2006,Adult,295,165,0,221
CN06-053,43,57.5,Female,2006,Adult,335,135,0,200
CN06-054,22,46,Male,2006,Young,325,125,CN06-104,200
CN06-055,49,58,Male,2007,Adult,425,185,0,207
CN06-055,49,58,Male,2007,Adult,335,135,0,193
CN06-055,48,58,Male,2007,Adult,425,175,0,164
CN06-055,47,60,Male,2006,Adult,305,85,0,200
CN06-056,36,58,Female,2007,Adult,325,75,0,165
CN06-056,37,61,Female,2007,Adult,365,85,0,206
CN06-056,36,52,Female,2006,Adult,375,105,0,200
CN06-058,45,57,Male,2006,Adult,415,115,0,201
CN06-059,42,56,Female,2007,Adult,355,155,CN06-051,194
CN06-059,38,54,Female,2007,Adult,385,125,CN06-051,193
CN06-059,35,56,Female,2007,Adult,385,125,CN06-051,275
CN06-059,38,57,Female,2007,Adult,345,155,CN06-051,252
CN06-059,34,58,Female,2007,Adult,355,135,CN06-051,251
