id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN06-001,2006,Female,A,34,0,0,0,0.291513014857839,NA
CN06-002,2006,Male,A,37,0,4,4,0.580556546336848,NA
CN06-003,2006,Female,A,30,0,0,0,-0.093878360447507,CN06-013
CN06-004,2006,Female,A,35,0,2,2,0.387860858684175,NA
CN06-005,2006,Male,A,45,0,5,5,1.35133929694754,NA
CN06-006,2006,Male,A,35,0,2,2,0.387860858684175,NA
CN06-007,2006,Female,A,38,1,1,3,0.676904390163184,NA
CN06-007,2007,Female,A,44,0,6,6,1.2549914531212,NA
CN06-010,2006,Male,A,52,0,0,0,2.02577420373189,NA
CN06-011,2006,Female,A,31,0,3,3,0.00246948337882945,CN06-013
CN06-012,2006,Female,A,41,0,1,1,0.965947921642194,NA
CN06-013,2006,Female,A,39,0,0,0,0.773252233989521,NA
CN06-014,2006,Female,A,40,0,2,2,0.869600077815857,NA
CN06-015,2006,Male,A,47,0,5,5,1.54403498460021,NA
CN06-017,2006,Male,A,42,0,4,4,1.06229576546853,NA
CN06-018,2006,Male,A,42,0,5,5,1.06229576546853,NA
CN06-021,2006,Female,A,40,0,4,4,0.869600077815857,NA
CN06-023,2006,Female,A,36,0,3,3,0.484208702510512,CN06-013
CN06-024,2006,Female,A,38,0,1,1,0.676904390163184,NA
CN06-025,2006,Female,A,49,1,6,8,1.73673067225289,NA
CN06-025,2007,Female,A,40,0,4,4,0.869600077815857,NA
CN06-027,2006,Male,A,46,1,10,12,1.44768714077388,NA
CN06-027,2007,Male,A,45,0,5,5,1.35133929694754,NA
CN06-028,2006,Female,J,19,0,0,0,-1.15370464253721,CN06-025
CN06-033,2006,Female,A,41,0,2,2,0.965947921642194,NA
CN06-034,2006,Female,A,36,0,2,2,0.484208702510512,NA
CN06-035,2006,Female,A,49,0,0,0,1.73673067225289,NA
CN06-036,2006,Female,A,37,1,1,3,0.580556546336848,NA
CN06-036,2007,Female,A,42,1,2,4,1.06229576546853,NA
CN06-036,2008,Female,A,40,0,0,0,0.869600077815857,NA
CN06-037,2006,Male,A,45,0,4,4,1.35133929694754,NA
CN06-038,2006,Female,A,51,0,4,4,1.92942635990556,NA
CN06-039,2006,Female,A,52,1,2,4,2.02577420373189,NA
CN06-039,2007,Female,A,43,0,0,0,1.15864360929487,NA
CN06-040,2006,Female,A,36,0,3,3,0.484208702510512,NA
CN06-041,2006,Female,J,20,0,0,0,-1.05735679871087,CN06-062
CN06-042,2006,Male,A,38,0,7,7,0.676904390163184,NA
CN06-043,2006,Male,J,16,0,0,0,-1.44274817401622,CN06-F12
CN06-044,2006,Female,A,40,0,2,2,0.869600077815857,NA
CN06-048,2006,Male,J,15,0,0,0,-1.53909601784255,CN06-040
CN06-049,2006,Female,J,22,0,0,0,-0.864661111058199,CN06-081
CN06-050,2006,Female,A,40,1,5,7,0.869600077815857,CN05-F2
CN06-050,2007,Female,A,49,0,7,7,1.73673067225289,CN05-F2
CN06-051,2006,Female,A,46,0,4,4,1.44768714077388,NA
CN06-052,2006,Female,A,47,0,2,2,1.54403498460021,NA
CN06-053,2006,Female,A,43,0,5,5,1.15864360929487,NA
CN06-054,2006,Male,J,22,0,0,0,-0.864661111058199,CN06-104
CN06-055,2006,Male,A,47,1,1,3,1.54403498460021,NA
CN06-055,2007,Male,A,48,0,8,8,1.64038282842655,NA
CN06-056,2006,Female,A,36,1,1,3,0.484208702510512,NA
CN06-056,2007,Female,A,36,0,1,1,0.484208702510512,NA
CN06-058,2006,Male,A,45,0,8,8,1.35133929694754,NA
CN06-059,2006,Female,J,19,1,0,2,-1.15370464253721,CN06-051
CN06-059,2007,Female,A,36,0,5,5,0.484208702510512,CN06-051
CN06-060,2006,Male,J,17,0,0,0,-1.34640033018988,CN06-052
CN06-061,2006,Male,A,40,0,3,3,0.869600077815857,NA
CN06-062,2006,Female,A,51,0,1,1,1.92942635990556,NA
CN06-063,2006,Male,A,50,0,1,1,1.83307851607922,NA
CN06-064,2006,Male,A,48,0,14,14,1.64038282842655,NA
CN06-065,2006,Male,J,14,1,0,2,-1.63544386166889,CN06-F12
CN06-065,2007,Male,A,43,1,7,9,1.15864360929487,CN06-F12
CN06-065,2008,Male,A,47,0,2,2,1.54403498460021,CN06-F12
CN06-066,2006,Male,J,22,0,0,0,-0.864661111058199,CN06-F13
CN06-067,2006,Male,J,20,0,0,0,-1.05735679871087,CN06-F13
CN06-068,2006,Male,J,23,0,0,0,-0.768313267231862,CN06-104
CN06-069,2006,Male,J,19,0,0,0,-1.15370464253721,CN06-053
CN06-070,2006,Male,J,NA,0,0,0,NA,CN06-053
CN06-071,2006,Female,A,45,0,4,4,1.35133929694754,CN05-F2
CN06-073,2006,Male,J,24,0,0,0,-0.671965423405526,CN06-050
CN06-074,2006,Male,J,26,0,0,0,-0.479269735752853,CN06-076
CN06-075,2006,Male,J,NA,0,0,0,NA,CN06-076
CN06-076,2006,Female,A,40,0,4,4,0.869600077815857,NA
CN06-077,2006,Female,A,44,0,4,4,1.2549914531212,NA
CN06-078,2006,Female,J,22,0,0,0,-0.864661111058199,CN06-071
CN06-079,2006,Male,J,NA,0,0,0,NA,CN06-108
CN06-080,2006,Female,A,44,0,1,1,1.2549914531212,CN05-F4
CN06-081,2006,Female,A,51,0,7,7,1.92942635990556,NA
CN06-082,2006,Male,J,27,0,0,0,-0.382921891926516,CN06-094
CN06-083,2006,Female,A,38,0,1,1,0.676904390163184,CN05-F5
CN06-084,2006,Female,A,57,0,3,3,2.50751342286358,NA
CN06-085,2006,Male,A,36,0,6,6,0.484208702510512,NA
CN06-086,2006,Male,A,39,0,8,8,0.773252233989521,NA
CN06-087,2006,Male,J,23,1,0,2,-0.768313267231862,CN06-040
CN06-087,2007,Male,A,35,0,1,1,0.387860858684175,CN06-040
CN06-088,2006,Female,A,46,0,5,5,1.44768714077388,CN05-F6
CN06-089,2006,Female,J,26,1,0,2,-0.479269735752853,CN06-021
CN06-089,2007,Female,A,42,1,7,9,1.06229576546853,CN06-021
CN06-089,2008,Female,A,46,0,3,3,1.44768714077388,CN06-021
CN06-090,2006,Female,J,24,0,0,0,-0.671965423405526,CN06-021
CN06-092,2006,Female,J,18,1,0,2,-1.25005248636354,CN06-F5
CN06-092,2007,Female,A,44,0,1,1,1.2549914531212,CN06-F5
CN06-094,2006,Female,A,40,1,5,7,0.869600077815857,CN05-F4
CN06-094,2007,Female,A,42,0,0,0,1.06229576546853,CN05-F4
CN06-095,2006,Female,A,45,0,0,0,1.35133929694754,CN05-F5
CN06-096,2006,Female,J,26,0,0,0,-0.479269735752853,CN06-080
CN06-098,2006,Male,J,21,0,0,0,-0.961008954884535,CN06-077
CN06-100,2006,Male,J,24,0,0,0,-0.671965423405526,CN06-F14
CN06-102,2006,Female,J,22,0,0,0,-0.864661111058199,CN06-088
CN06-104,2006,Female,A,49,1,8,10,1.73673067225289,NA
CN06-104,2007,Female,A,59,0,5,5,2.70020911051625,NA
CN06-105,2006,Female,J,21,0,0,0,-0.961008954884535,CN06-104
CN06-106,2006,Male,J,22,1,0,2,-0.864661111058199,CN06-104
CN06-106,2007,Male,A,46,0,4,4,1.44768714077388,CN06-104
CN06-107,2006,Male,J,28,0,0,0,-0.28657404810018,CN06-108
CN06-108,2006,Female,A,48,0,6,6,1.64038282842655,NA
CN06-109,2006,Female,J,27,1,0,2,-0.382921891926516,CN06-F14
CN06-109,2007,Female,A,48,0,1,1,1.64038282842655,CN06-F14
CN06-110,2006,Female,J,26,1,0,2,-0.479269735752853,CN06-F14
CN06-110,2007,Female,A,48,0,4,4,1.64038282842655,CN06-F14
CN06-111,2006,Female,J,22,0,0,0,-0.864661111058199,CN06-104
CN06-113,2006,Male,J,22,0,0,0,-0.864661111058199,CN06-088
CN06-114,2006,Male,A,39,0,0,0,0.773252233989521,NA
CN06-115,2006,Female,J,27,0,0,0,-0.382921891926516,CN06-004
CN06-116,2006,Female,J,28,1,0,2,-0.28657404810018,CN06-038
CN06-116,2007,Female,A,39,1,6,8,0.773252233989521,CN06-038
CN06-116,2008,Female,A,47,0,0,0,1.54403498460021,CN06-038
CN06-117,2006,Female,J,30,0,0,0,-0.093878360447507,CN06-038
CN06-118,2006,Male,J,30,0,0,0,-0.093878360447507,CN06-025
CN06-119,2006,Female,J,26,1,0,2,-0.479269735752853,CN06-025
CN06-119,2007,Female,A,41,0,4,4,0.965947921642194,CN06-025
CN06-120,2006,Male,J,27,0,0,0,-0.382921891926516,CN06-025
CN06-121,2006,Female,J,23,0,0,0,-0.768313267231862,CN06-122
CN06-122,2006,Female,A,35,0,4,4,0.387860858684175,CN05-F6
CN06-123,2006,Male,J,19,0,0,0,-1.15370464253721,CN06-021
CN06-124,2006,Male,J,20,1,0,2,-1.05735679871087,CN06-122
CN06-124,2007,Male,A,42,0,8,8,1.06229576546853,CN06-122
CN06-126,2006,Female,A,35,0,3,3,0.387860858684175,NA
CN06-127,2006,Male,J,21,0,0,0,-0.961008954884535,CN06-126
CN06-128,2006,Male,J,23,1,0,2,-0.768313267231862,CN06-004
CN06-128,2007,Male,A,39,0,3,3,0.773252233989521,CN06-004
CN06-129,2006,Female,J,26,1,0,2,-0.479269735752853,CN06-007
CN06-129,2007,Female,A,40,0,0,0,0.869600077815857,CN06-007
CN06-130,2006,Male,J,21,0,0,0,-0.961008954884535,CN06-011
CN06-132,2006,Male,A,41,0,0,0,0.965947921642194,NA
CN06-133,2006,Female,J,22,1,0,2,-0.864661111058199,CN06-088
CN06-133,2007,Female,A,32,0,0,0,0.0988173272051659,CN06-088
CN06-134,2006,Male,J,24,0,0,0,-0.671965423405526,CN06-122
CN06-135,2006,Male,J,11,0,0,0,-1.9244873931479,CN06-122
CN06-136,2006,Female,J,24,1,0,2,-0.671965423405526,CN06-126
CN06-136,2007,Female,A,45,0,3,3,1.35133929694754,CN06-126
CN06-137,2006,Male,J,17,0,0,0,-1.34640033018988,CN06-023
CN06-138,2006,Male,J,22,0,0,0,-0.864661111058199,CN06-023
CN06-140,2006,Male,J,20,0,0,0,-1.05735679871087,CN06-023
CN06-141,2006,Female,J,19,0,0,0,-1.15370464253721,CN06-011
CN06-142,2006,Female,J,21,0,0,0,-0.961008954884535,CN06-033
CN06-143,2006,Female,J,23,0,0,0,-0.768313267231862,CN06-034
CN06-145,2006,Female,J,26,0,0,0,-0.479269735752853,CN06-108
CN06-146,2006,Male,J,24,0,0,0,-0.671965423405526,CN06-033
CN06-147,2006,Female,J,27,1,0,2,-0.382921891926516,CN06-053
CN06-147,2007,Female,A,40,1,5,7,0.869600077815857,CN06-053
CN06-147,2008,Female,A,47,0,0,0,1.54403498460021,CN06-053
CN06-148,2006,Female,A,42,0,3,3,1.06229576546853,NA
CN06-150,2006,Female,A,41,0,4,4,0.965947921642194,NA
CN06-151,2006,Female,J,25,0,0,0,-0.575617579579189,CN06-039
CN06-152,2006,Male,J,23,0,0,0,-0.768313267231862,CN06-038
CN06-153,2006,Female,J,24,0,0,0,-0.671965423405526,CN06-F3
CN06-154,2006,Female,J,24,1,0,2,-0.671965423405526,CN06-148
CN06-154,2007,Female,A,47,0,6,6,1.54403498460021,CN06-148
CN06-155,2006,Male,J,24,0,0,0,-0.671965423405526,CN06-036
CN06-156,2006,Female,J,NA,0,0,0,NA,CN06-039
CN06-157,2006,Female,J,28,1,0,2,-0.28657404810018,CN06-150
CN06-157,2007,Female,A,49,1,4,6,1.73673067225289,CN06-150
CN06-157,2008,Female,A,45,0,2,2,1.35133929694754,CN06-150
CN06-159,2006,Male,J,29,1,0,2,-0.190226204273843,CN06-150
CN06-159,2007,Male,A,37,1,2,4,0.580556546336848,CN06-150
CN06-159,2008,Male,A,42,0,2,2,1.06229576546853,CN06-150
CN06-160,2006,Male,J,27,0,0,0,-0.382921891926516,CN06-038
CN06-161,2006,Female,J,21,0,0,0,-0.961008954884535,CN06-148
CN06-162,2006,Male,J,28,0,0,0,-0.28657404810018,CN06-148
CN06-164,2006,Female,J,19,1,0,2,-1.15370464253721,CN06-104
CN06-164,2007,Female,A,44,0,4,4,1.2549914531212,CN06-104
